                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.6574,                 1.3603,                 2.3653,                0.83784,                0.82678,                0.91463,                0.60703,                 1.3824,                 1.4534,                 2.2253,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.8983,                 1.6493,                 2.6304,                0.79283,                   0.84,                0.87082,                0.56854,                 1.4117,                 1.5364,                 2.2814,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5946,                 1.5304,                 2.3523,                0.81917,                0.81547,                0.84806,                0.55759,                 1.3751,                  1.631,                 2.2915,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.0972,                 1.8271,                 2.5528,                0.77214,                0.74559,                0.81751,                0.52075,                 1.3923,                 1.7256,                 2.3373,               0.000317,               0.000317,               0.000317
                     88,                 1.6766,                 1.5014,                 2.3719,                0.77248,                   0.76,                0.82981,                0.52948,                 1.3714,                 1.7528,                 2.3387,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.6763,                 1.4939,                 2.4799,                0.84611,                0.76985,                0.89053,                0.57412,                 1.2921,                 1.7166,                  2.286,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.6122,                 1.4398,                 2.2113,                 0.8845,                   0.82,                0.92518,                0.59823,                 1.2879,                 1.6297,                 2.2816,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3641,                 1.7784,                 2.2172,                0.92282,                   0.82,                0.93393,                0.60801,                 1.2762,                 1.5719,                  2.265,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3057,                 1.8747,                 2.2317,                0.91716,                   0.92,                0.97202,                0.63642,                 1.2351,                 1.5265,                 2.2038,               0.000218,               0.000218,               0.000218
                     93,                   1.46,                 1.9253,                 2.3691,                0.92088,                    0.9,                0.97779,                0.64577,                 1.1966,                 1.4818,                 2.1484,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3006,                 1.8593,                 2.1305,                0.87382,                   0.88,                0.96705,                0.65953,                 1.1907,                 1.4275,                 2.1132,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3315,                 1.6387,                 2.1821,                0.91312,                0.84084,                0.96226,                0.64985,                 1.2109,                 1.4004,                 2.0932,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.2549,                 1.4854,                 2.0538,                0.93411,                0.85077,                0.95285,                0.65477,                 1.1933,                 1.4037,                 2.0767,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.2705,                 1.5388,                 2.0902,                0.89818,                0.88212,                0.95301,                0.66471,                 1.1757,                 1.4216,                 2.0768,               0.000119,               0.000119,               0.000119
                     98,                 1.1627,                 1.5818,                 2.0396,                0.88506,                    0.9,                0.95287,                0.66554,                 1.1743,                 1.4414,                  2.089,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.2136,                 1.5163,                 2.0122,                 0.9002,                0.90207,                0.96128,                0.67001,                    1.2,                 1.4689,                 2.1192,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.1859,                 1.5049,                 2.0395,                0.94377,                   0.88,                0.96439,                0.67165,                 1.2237,                 1.4798,                 2.1498,               5.96e-05,               5.96e-05,               5.96e-05
